# z=70.0
# H0:67.4 omega_m:0.314885968880016 omega_b:0.049309230511847414 omega_nu:0.0014201463404145906 w:-1.0 wa:0.0 sigma8(z=0):0.03365144806932789
# koh d_cdm d_b d_gamma d_neutrino d_nu d_tot d_nonu d_tot_de Weyl v_newt_cdm v_newt_b v_b_cdm
4.531165e-04 3.408214e+05 3.408044e+05 4.489387e+05 4.484895e+05 3.718247e+05 3.409881e+05 3.408187e+05 3.490292e+05 -6.029134e-01 3.394299e+05 3.394265e+05 1.210268e+01
5.003259e-04 3.407770e+05 3.407563e+05 4.476844e+05 4.471386e+05 3.710710e+05 3.409392e+05 3.407737e+05 3.489572e+05 -6.027822e-01 3.393852e+05 3.393810e+05 1.336081e+01
5.524541e-04 3.407228e+05 3.406977e+05 4.461593e+05 4.454964e+05 3.701543e+05 3.408797e+05 3.407189e+05 3.488698e+05 -6.026225e-01 3.393306e+05 3.393255e+05 1.474905e+01
6.100134e-04 3.406569e+05 3.406262e+05 4.443061e+05 4.435016e+05 3.690398e+05 3.408072e+05 3.406521e+05 3.487632e+05 -6.024280e-01 3.392642e+05 3.392579e+05 1.628063e+01
6.735697e-04 3.405767e+05 3.405392e+05 4.420557e+05 4.410805e+05 3.676858e+05 3.407189e+05 3.405708e+05 3.486336e+05 -6.021914e-01 3.391832e+05 3.391756e+05 1.797001e+01
7.437478e-04 3.404789e+05 3.404332e+05 4.393255e+05 4.381449e+05 3.660419e+05 3.406114e+05 3.404717e+05 3.484761e+05 -6.019035e-01 3.390846e+05 3.390753e+05 1.983306e+01
8.212376e-04 3.403599e+05 3.403042e+05 4.360168e+05 4.345898e+05 3.640480e+05 3.404806e+05 3.403512e+05 3.482846e+05 -6.015536e-01 3.389645e+05 3.389532e+05 2.188704e+01
9.068010e-04 3.402151e+05 3.401472e+05 4.320124e+05 4.302907e+05 3.616324e+05 3.403215e+05 3.402044e+05 3.480521e+05 -6.011285e-01 3.388183e+05 3.388046e+05 2.415077e+01
1.001279e-03 3.400390e+05 3.399562e+05 4.271739e+05 4.251016e+05 3.587099e+05 3.401280e+05 3.400260e+05 3.477699e+05 -6.006125e-01 3.386405e+05 3.386238e+05 2.664467e+01
1.105601e-03 3.398249e+05 3.397240e+05 4.213391e+05 4.188521e+05 3.551802e+05 3.398930e+05 3.398090e+05 3.474280e+05 -5.999866e-01 3.384242e+05 3.384038e+05 2.939079e+01
1.220791e-03 3.395647e+05 3.394418e+05 4.143202e+05 4.113457e+05 3.509261e+05 3.396076e+05 3.395454e+05 3.470141e+05 -5.992284e-01 3.381612e+05 3.381364e+05 3.241285e+01
1.347984e-03 3.392489e+05 3.390991e+05 4.059017e+05 4.023597e+05 3.458121e+05 3.392613e+05 3.392253e+05 3.465138e+05 -5.983113e-01 3.378418e+05 3.378115e+05 3.573621e+01
1.488428e-03 3.388658e+05 3.386833e+05 3.958417e+05 3.916464e+05 3.396831e+05 3.388417e+05 3.388371e+05 3.459102e+05 -5.972037e-01 3.374539e+05 3.374171e+05 3.938773e+01
1.643505e-03 3.384017e+05 3.381793e+05 3.838737e+05 3.789372e+05 3.323657e+05 3.383339e+05 3.383668e+05 3.451839e+05 -5.958689e-01 3.369835e+05 3.369387e+05 4.339568e+01
1.814739e-03 3.378402e+05 3.375692e+05 3.697141e+05 3.639528e+05 3.236702e+05 3.377204e+05 3.377976e+05 3.443119e+05 -5.942642e-01 3.364137e+05 3.363592e+05 4.778939e+01
2.003814e-03 3.371619e+05 3.368318e+05 3.530750e+05 3.464192e+05 3.133961e+05 3.369805e+05 3.371100e+05 3.432688e+05 -5.923409e-01 3.357244e+05 3.356582e+05 5.259885e+01
2.212588e-03 3.363442e+05 3.359422e+05 3.336851e+05 3.260932e+05 3.013414e+05 3.360901e+05 3.362810e+05 3.420258e+05 -5.900441e-01 3.348919e+05 3.348115e+05 5.785419e+01
2.443114e-03 3.353608e+05 3.348714e+05 3.113225e+05 3.028006e+05 2.873189e+05 3.350218e+05 3.352838e+05 3.405515e+05 -5.873131e-01 3.338886e+05 3.337910e+05 6.358485e+01
2.697658e-03 3.341815e+05 3.335857e+05 2.858612e+05 2.764886e+05 2.711794e+05 3.337441e+05 3.340878e+05 3.388128e+05 -5.840827e-01 3.326824e+05 3.325641e+05 6.981870e+01
2.978722e-03 3.327719e+05 3.320471e+05 2.573336e+05 2.472927e+05 2.528446e+05 3.322219e+05 3.326579e+05 3.367758e+05 -5.802855e-01 3.312368e+05 3.310935e+05 7.658097e+01
3.289070e-03 3.310942e+05 3.302127e+05 2.260082e+05 2.156157e+05 2.323495e+05 3.304168e+05 3.309555e+05 3.344074e+05 -5.758544e-01 3.295104e+05 3.293371e+05 8.389302e+01
3.631753e-03 3.291066e+05 3.280351e+05 1.924767e+05 1.822081e+05 2.098940e+05 3.282877e+05 3.289380e+05 3.316782e+05 -5.707280e-01 3.274579e+05 3.272486e+05 9.177116e+01
4.010139e-03 3.267652e+05 3.254635e+05 1.577358e+05 1.482290e+05 1.858956e+05 3.257920e+05 3.265605e+05 3.285644e+05 -5.648561e-01 3.250303e+05 3.247778e+05 1.002258e+02
4.427949e-03 3.240250e+05 3.224449e+05 1.232343e+05 1.152518e+05 1.610336e+05 3.228874e+05 3.237764e+05 3.250502e+05 -5.582055e-01 3.221771e+05 3.218732e+05 1.092610e+02
4.889290e-03 3.208417e+05 3.189254e+05 9.084023e+04 8.516579e+04 1.362613e+05 3.195336e+05 3.205403e+05 3.211291e+05 -5.507666e-01 3.188482e+05 3.184831e+05 1.188746e+02
5.398697e-03 3.171747e+05 3.148529e+05 6.267068e+04 5.992081e+04 1.127578e+05 3.156948e+05 3.168095e+05 3.168021e+05 -5.425554e-01 3.149977e+05 3.145600e+05 1.290601e+02
5.961178e-03 3.129891e+05 3.101796e+05 4.072775e+04 4.108725e+04 9.178704e+04 3.113412e+05 3.125472e+05 3.120730e+05 -5.336100e-01 3.105874e+05 3.100639e+05 1.398085e+02
6.582264e-03 3.082622e+05 3.048672e+05 2.633401e+04 2.928391e+04 7.615540e+04 3.064631e+05 3.077281e+05 3.069516e+05 -5.240012e-01 3.056057e+05 3.049809e+05 1.511110e+02
7.268059e-03 3.029701e+05 2.988746e+05 1.947022e+04 2.366608e+04 6.348796e+04 3.010212e+05 3.023259e+05 3.013938e+05 -5.137272e-01 3.000152e+05 2.992712e+05 1.629597e+02
8.025306e-03 2.971052e+05 2.921742e+05 1.831242e+04 2.184047e+04 5.416270e+04 2.950067e+05 2.963296e+05 2.953547e+05 -5.027930e-01 2.938266e+05 2.929427e+05 1.753439e+02
8.861450e-03 2.906639e+05 2.847405e+05 1.942900e+04 2.059751e+04 4.798746e+04 2.884115e+05 2.897322e+05 2.887662e+05 -4.911428e-01 2.870602e+05 2.860124e+05 1.882393e+02
9.784710e-03 2.836409e+05 2.765443e+05 1.904737e+04 1.750721e+04 4.305266e+04 2.812164e+05 2.825245e+05 2.815489e+05 -4.786466e-01 2.797278e+05 2.784888e+05 2.015871e+02
1.080416e-02 2.760261e+05 2.675505e+05 1.518775e+04 1.254951e+04 3.747271e+04 2.733969e+05 2.746928e+05 2.736542e+05 -4.651500e-01 2.718285e+05 2.703676e+05 2.152690e+02
1.192983e-02 2.678046e+05 2.577196e+05 9.278772e+03 8.102360e+03 3.102237e+04 2.649333e+05 2.662182e+05 2.650929e+05 -4.505484e-01 2.633446e+05 2.616279e+05 2.290847e+02
1.317278e-02 2.589601e+05 2.470129e+05 5.115542e+03 6.328853e+03 2.508089e+04 2.558134e+05 2.570808e+05 2.559119e+05 -4.348297e-01 2.542445e+05 2.522360e+05 2.427439e+02
1.454523e-02 2.494802e+05 2.354015e+05 4.764055e+03 5.632031e+03 2.068032e+04 2.460278e+05 2.472656e+05 2.461180e+05 -4.180364e-01 2.444932e+05 2.421555e+05 2.558685e+02
1.606067e-02 2.393611e+05 2.228755e+05 5.621104e+03 4.425208e+03 1.764912e+04 2.355708e+05 2.367678e+05 2.356648e+05 -4.001715e-01 2.340940e+05 2.313905e+05 2.679863e+02
1.773401e-02 2.286077e+05 2.094509e+05 4.149710e+03 3.459744e+03 1.470009e+04 2.244422e+05 2.255942e+05 2.245126e+05 -3.812032e-01 2.230519e+05 2.199496e+05 2.784970e+02
1.958169e-02 2.172357e+05 1.951807e+05 2.007330e+03 2.689718e+03 1.153046e+04 2.126615e+05 2.137663e+05 2.127014e+05 -3.611265e-01 2.113880e+05 2.078624e+05 2.866388e+02
2.162187e-02 2.052805e+05 1.801736e+05 2.142670e+03 2.077124e+03 9.104496e+03 2.002810e+05 2.013311e+05 2.003190e+05 -3.400463e-01 1.991393e+05 1.951803e+05 2.915045e+02
2.387462e-02 1.928084e+05 1.646179e+05 1.929306e+03 1.593199e+03 7.421118e+03 1.873854e+05 1.883739e+05 1.874181e+05 -3.181199e-01 1.863840e+05 1.820037e+05 2.920881e+02
2.636207e-02 1.799251e+05 1.488007e+05 9.354240e+02 1.213522e+03 5.795662e+03 1.741046e+05 1.750291e+05 1.741230e+05 -2.955424e-01 1.732517e+05 1.684940e+05 2.873240e+02
2.910870e-02 1.667853e+05 1.331242e+05 1.129927e+03 9.175047e+02 4.458728e+03 1.606325e+05 1.614903e+05 1.606515e+05 -2.726509e-01 1.599232e+05 1.548732e+05 2.761982e+02
3.214148e-02 1.536009e+05 1.181101e+05 5.516729e+02 6.892582e+02 3.513028e+03 1.472286e+05 1.480180e+05 1.472393e+05 -2.498831e-01 1.466477e+05 1.414401e+05 2.579425e+02
3.549025e-02 1.406391e+05 1.043733e+05 6.358220e+02 5.149836e+02 2.640733e+03 1.342117e+05 1.349344e+05 1.342224e+05 -2.277769e-01 1.337335e+05 1.285557e+05 2.322693e+02
3.918792e-02 1.282074e+05 9.255384e+04 3.099599e+02 3.837061e+02 2.089433e+03 1.219407e+05 1.225990e+05 1.219466e+05 -2.069407e-01 1.215275e+05 1.166122e+05 1.996883e+02
4.327085e-02 1.166163e+05 8.318804e+04 2.943459e+02 2.859706e+02 1.560585e+03 1.107581e+05 1.113579e+05 1.107633e+05 -1.879558e-01 1.103660e+05 1.059682e+05 1.618064e+02
4.759793e-02 1.064695e+05 7.669971e+04 2.165036e+02 2.163025e+02 1.203103e+03 1.012371e+05 1.017866e+05 1.012410e+05 -1.717926e-01 1.008218e+05 9.714202e+04 1.230790e+02
5.192502e-02 9.824409e+04 7.285073e+04 1.687551e+02 1.685979e+02 9.761726e+02 9.374009e+04 9.424962e+04 9.374311e+04 -1.590662e-01 9.327864e+04 9.038148e+04 8.882752e+01
5.625210e-02 9.141920e+04 7.047438e+04 1.347216e+02 1.345956e+02 7.647852e+02 8.764728e+04 8.812451e+04 8.764970e+04 -1.487243e-01 8.713262e+04 8.497352e+04 6.110650e+01
6.057919e-02 8.560367e+04 6.862473e+04 1.095285e+02 1.094258e+02 6.213726e+02 8.248317e+04 8.293282e+04 8.248513e+04 -1.399593e-01 8.192512e+04 8.037269e+04 4.079823e+01
6.490627e-02 8.049964e+04 6.661277e+04 9.022694e+01 9.014214e+01 5.275898e+02 7.789026e+04 7.831519e+04 7.789187e+04 -1.321642e-01 7.731160e+04 7.618043e+04 2.774562e+01
6.923336e-02 7.584031e+04 6.397873e+04 7.495853e+01 7.488801e+01 4.303218e+02 7.357269e+04 7.397445e+04 7.357403e+04 -1.248369e-01 7.300208e+04 7.208906e+04 2.099475e+01
7.356045e-02 7.140607e+04 6.050845e+04 6.255291e+01 6.249407e+01 3.562154e+02 6.931307e+04 6.969184e+04 6.931420e+04 -1.176084e-01 6.877737e+04 6.789594e+04 1.907617e+01
7.788753e-02 6.710291e+04 5.628041e+04 5.232300e+01 5.227385e+01 3.003656e+02 6.504487e+04 6.540050e+04 6.504581e+04 -1.103655e-01 6.456470e+04 6.357171e+04 2.029675e+01
8.221462e-02 6.294203e+04 5.159114e+04 4.385854e+01 4.381745e+01 2.379520e+02 6.082371e+04 6.115650e+04 6.082450e+04 -1.032028e-01 6.041116e+04 5.922297e+04 2.300834e+01
8.654170e-02 5.898852e+04 4.683870e+04 3.688528e+01 3.685083e+01 2.147461e+02 5.676669e+04 5.707732e+04 5.676735e+04 -9.631861e-02 5.642387e+04 5.502021e+04 2.582184e+01
9.086879e-02 5.530727e+04 4.240487e+04 3.118020e+01 3.115116e+01 1.936370e+02 5.298769e+04 5.327768e+04 5.298825e+04 -8.990631e-02 5.270748e+04 5.112397e+04 2.774316e+01
